LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1742899275.688049,218621.000,33534,2,AK,1,100,32726
1742899275.688049,218621.000,33534,2,AK,1,100,RD
1742899275.689049,218622.000,33536,2,AK,1,100,32726
1742899275.690048,218623.000,33536,2,AK,1,100,RD
1742899278.242576,221175.500,34357,2,AK,1,100,33537
1742899280.795103,223728.000,34357,2,AK,1,100,RD
1742899280.796603,223729.500,34359,2,AK,1,100,33537
1742899280.798103,223731.000,34359,2,AK,1,100,RD
1742899283.397131,226330.000,35197,2,AK,1,100,35195
1742899285.996159,228929.000,35197,2,AK,1,100,RD
1742899288.517186,231450.000,36034,2,AK,1,100,35195
1742899291.038213,233971.000,36034,2,AK,1,100,RD
1742899293.595740,236528.500,36869,2,AK,1,100,36035
1742899296.153267,239086.000,36869,2,AK,1,100,RD
1742899296.156767,239089.500,36871,2,AK,1,100,36035
1742899296.160267,239093.000,36871,2,AK,1,100,RD
1742899298.718295,241651.000,37710,2,AK,1,100,36872
1742899301.276322,244209.000,37710,2,AK,1,100,RD
1742899301.277322,244210.000,37712,2,AK,1,100,36872
1742899301.278322,244211.000,37712,2,AK,1,100,RD
1742899303.830849,246763.500,38556,2,AK,1,100,37713
1742899306.383376,249316.000,38556,2,AK,1,100,RD
1742899306.384377,249317.000,38558,2,AK,1,100,37713
1742899306.385376,249318.000,38558,2,AK,1,100,RD
1742899308.944904,251877.500,39396,2,AK,1,100,39394
1742899311.504431,254437.000,39396,2,AK,1,100,RD
1742899314.060458,256993.000,40226,2,AK,1,100,39394
1742899316.616486,259549.000,40226,2,AK,1,100,RD
1742899316.622486,259555.000,40229,2,AK,1,100,40227
1742899316.628486,259561.000,40229,2,AK,1,100,RD
1742899319.176513,262109.000,41054,2,AK,1,100,40227
1742899321.724540,264657.000,41054,2,AK,1,100,RD
1742899321.732540,264665.000,41057,2,AK,1,100,41055
1742899321.740541,264673.000,41057,2,AK,1,100,RD
1742899324.287068,267219.500,41881,2,AK,1,100,41055
1742899326.833595,269766.000,41881,2,AK,1,100,RD
1742899329.387122,272319.500,42676,2,AK,1,100,41882
1742899331.940650,274873.000,42676,2,AK,1,100,RD
1742899331.941649,274874.000,42678,2,AK,1,100,41882
1742899331.942650,274875.000,42678,2,AK,1,100,RD
1742899334.502177,277434.500,43525,2,AK,1,100,42679
1742899337.061704,279994.000,43525,2,AK,1,100,RD
1742899337.062704,279995.000,43527,2,AK,1,100,42679
1742899337.063704,279996.000,43527,2,AK,1,100,RD
1742899337.079705,280012.000,43530,2,AK,1,100,43528
1742899337.095705,280028.000,43530,2,AK,1,100,RD
1742899339.643232,282575.500,44372,2,AK,1,100,43528
1742899342.190759,285123.000,44372,2,AK,1,100,RD
1742899342.204759,285137.000,44375,2,AK,1,100,44373
1742899342.218759,285151.000,44375,2,AK,1,100,RD
1742899344.759286,287691.500,45213,2,AK,1,100,44373
1742899347.299814,290232.000,45213,2,AK,1,100,RD
1742899347.320314,290252.500,45216,2,AK,1,100,45214
1742899347.340814,290273.000,45216,2,AK,1,100,RD
1742899349.874341,292806.500,46039,2,AK,1,100,45214
1742899352.407868,295340.000,46039,2,AK,1,100,RD
1742899354.967896,297900.000,46883,2,AK,1,100,46040
