LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1742899274.739038,217672,33366,1,BI,1,100,680
1742899275.419046,218352,33482,1,BI,1,100,680
1742899276.139053,219072,33604,1,BI,1,100,720
1742899276.819061,219752,33720,1,BI,1,100,680
1742899277.499068,220432,33820,1,BI,1,100,680
1742899278.179075,221112,33938,1,BI,1,100,680
1742899278.859082,221792,34039,1,BI,1,100,680
1742899279.539090,222472,34155,1,BI,1,100,680
1742899280.219097,223152,34272,1,BI,1,100,680
1742899280.859104,223792,34362,1,BI,1,100,640
1742899281.499111,224432,34463,1,BI,1,100,640
1742899282.178118,225111,34578,1,BI,1,100,680
1742899282.898126,225831,34696,1,BI,1,100,720
1742899283.618133,226551,34813,1,BI,1,100,720
1742899284.378141,227311,34946,1,BI,1,100,760
1742899285.098149,228031,35062,1,BI,1,100,720
1742899285.898158,228831,35199,1,BI,1,100,800
1742899286.578165,229511,35298,1,BI,1,100,680
1742899287.298172,230231,35415,1,BI,1,100,720
1742899288.018180,230951,35532,1,BI,1,100,720
1742899288.738188,231671,35649,1,BI,1,100,720
1742899289.458196,232391,35767,1,BI,1,100,720
1742899290.138203,233071,35882,1,BI,1,100,680
1742899290.858211,233791,35998,1,BI,1,100,720
1742899291.537218,234470,36102,1,BI,1,100,680
1742899292.258225,235191,36219,1,BI,1,100,720
1742899292.937233,235870,36335,1,BI,1,100,680
1742899293.657240,236590,36452,1,BI,1,100,720
1742899294.337248,237270,36571,1,BI,1,100,680
1742899295.097256,238030,36686,1,BI,1,100,760
1742899295.777263,238710,36802,1,BI,1,100,680
1742899296.457270,239390,36908,1,BI,1,100,680
1742899297.137278,240070,37024,1,BI,1,100,680
1742899297.897286,240830,37157,1,BI,1,100,760
1742899298.564293,241497,37258,1,BI,1,100,680
1742899299.204300,242137,37359,1,BI,1,100,640
1742899299.803306,242736,37458,1,BI,1,100,600
1742899300.483313,243416,37576,1,BI,1,100,680
1742899301.123320,244056,37675,1,BI,1,100,640
1742899301.843328,244776,37799,1,BI,1,100,720
1742899302.403334,245336,37884,1,BI,1,100,560
1742899303.003340,245936,37982,1,BI,1,100,600
1742899303.563346,246496,38085,1,BI,1,100,560
1742899304.243354,247176,38202,1,BI,1,100,680
1742899304.803360,247736,38287,1,BI,1,100,560
1742899305.643368,248576,38419,1,BI,1,100,840
1742899306.123374,249056,38503,1,BI,1,100,480
1742899306.723380,249656,38611,1,BI,1,100,600
1742899307.403387,250336,38710,1,BI,1,100,680
1742899308.123395,251056,38842,1,BI,1,100,720
1742899308.723402,251656,38929,1,BI,1,100,600
1742899309.362408,252295,39044,1,BI,1,100,640
1742899310.002415,252935,39144,1,BI,1,100,640
1742899310.602422,253535,39245,1,BI,1,100,600
1742899311.202428,254135,39344,1,BI,1,100,600
