LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1742899278.250076,221183.000,33954,1,BV,1,100,3.74
1742899283.250129,226183.000,34778,1,BV,1,100,3.74
1742899288.249183,231182.000,35581,1,BV,1,100,3.74
1742899293.249236,236182.000,36401,1,BV,1,100,3.74
1742899298.248290,241181.000,37225,1,BV,1,100,3.74
1742899303.248343,246181.000,38049,1,BV,1,100,3.73
1742899308.247396,251180.000,38878,1,BV,1,100,3.73
1742899313.247450,256180.000,39686,1,BV,1,100,3.73
1742899318.246503,261179.000,40499,1,BV,1,100,3.73
1742899323.246557,266179.000,41310,1,BV,1,100,3.73
1742899328.245610,271178.000,42121,1,BV,1,100,3.73
1742899333.245663,276178.000,42897,1,BV,1,100,3.74
1742899338.244717,281177.000,43737,1,BV,1,100,3.74
1742899343.244770,286177.000,44560,1,BV,1,100,3.73
1742899348.243824,291176.000,45369,1,BV,1,100,3.73
1742899353.243877,296176.000,46197,1,BV,1,100,3.74
1742899358.242931,301175.000,47005,1,BV,1,100,3.73
1742899363.242984,306175.000,47831,1,BV,1,100,3.73
1742899368.242037,311174.000,48653,1,BV,1,100,3.73
1742899373.242091,316174.000,49475,1,BV,1,100,3.73
1742899378.241144,321173.000,50304,1,BV,1,100,3.73
1742899383.241198,326173.000,51126,1,BV,1,100,3.73
1742899388.240251,331172.000,51949,1,BV,1,100,3.73
1742899393.240304,336172.000,52762,1,BV,1,100,3.73
1742899398.239358,341171.000,53585,1,BV,1,100,3.73
1742899403.239411,346171.000,54394,1,BV,1,100,3.73
1742899408.238465,351170.000,55216,1,BV,1,100,3.73
1742899413.238518,356170.000,56039,1,BV,1,100,3.73
1742899418.237571,361169.000,56863,1,BV,1,100,3.73
1742899423.237625,366169.000,57670,1,BV,1,100,3.73
1742899428.236678,371168.000,58495,1,BV,1,100,3.73
1742899433.236732,376168.000,59302,1,BV,1,100,3.73
1742899438.235785,381167.000,60135,1,BV,1,100,3.73
1742899443.235839,386167.000,60963,1,BV,1,100,3.73
1742899448.234892,391166.000,61796,1,BV,1,100,3.73
1742899453.234946,396166.000,62601,1,BV,1,100,3.73
1742899458.233999,401165.000,63432,1,BV,1,100,3.73
1742899463.234052,406165.000,64240,1,BV,1,100,3.73
1742899468.233106,411164.000,65070,1,BV,1,100,3.72
1742899473.233159,416164.000,361,1,BV,1,100,3.72
1742899478.232213,421163.000,1187,1,BV,1,100,3.73
1742899483.232266,426163.000,2014,1,BV,1,100,3.72
1742899488.231319,431162.000,2840,1,BV,1,100,3.73
1742899493.231373,436162.000,3661,1,BV,1,100,3.72
1742899498.230426,441161.000,4483,1,BV,1,100,3.73
