LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1742899274.618037,217551.000,33352,2,EA,1,100,1.166296
1742899274.618037,217551.000,33352,2,EA,1,100,1.166296
1742899274.685038,217618.000,33371,1,EA,1,100,1.166687
1742899274.751539,217684.500,33387,2,EA,1,100,1.166687
1742899274.818039,217751.000,33387,2,EA,1,100,1.166882
1742899274.885040,217818.000,33404,1,EA,1,100,1.167079
1742899274.951541,217884.500,33419,2,EA,1,100,1.166490
1742899275.018041,217951.000,33419,2,EA,1,100,1.166296
1742899275.085042,218018.000,33436,1,EA,1,100,1.165904
1742899275.151543,218084.500,33452,2,EA,1,100,1.164537
1742899275.218044,218151.000,33452,2,EA,1,100,1.163370
1742899275.285044,218218.000,33470,1,EA,1,100,1.162591
1742899275.351545,218284.500,33487,2,EA,1,100,1.162204
1742899275.418046,218351.000,33487,2,EA,1,100,1.161620
1742899275.484546,218417.500,33503,2,EA,1,100,1.161427
1742899275.551047,218484.000,33503,2,EA,1,100,1.160651
1742899275.618048,218551.000,33520,1,EA,1,100,1.160265
1742899275.684548,218617.500,33542,2,EA,1,100,1.159683
1742899275.751049,218684.000,33542,2,EA,1,100,1.159104
1742899275.817550,218750.500,33558,2,EA,1,100,1.158139
1742899275.884051,218817.000,33558,2,EA,1,100,1.156984
1742899275.951051,218884.000,33576,1,EA,1,100,1.156022
1742899276.017552,218950.500,33590,2,EA,1,100,1.155638
1742899276.084053,219017.000,33590,2,EA,1,100,1.155063
1742899276.151053,219084.000,33609,1,EA,1,100,1.154295
1742899276.217554,219150.500,33626,2,EA,1,100,1.153721
1742899276.284055,219217.000,33626,2,EA,1,100,1.153721
1742899276.351056,219284.000,33643,1,EA,1,100,1.152955
1742899276.417556,219350.500,33657,2,EA,1,100,1.152765
1742899276.484057,219417.000,33657,2,EA,1,100,1.151811
1742899276.551058,219484.000,33674,1,EA,1,100,1.150668
1742899276.617558,219550.500,33691,2,EA,1,100,1.149717
1742899276.684059,219617.000,33691,2,EA,1,100,1.149146
1742899276.751060,219684.000,33708,1,EA,1,100,1.148197
1742899276.817561,219750.500,33725,2,EA,1,100,1.148008
1742899276.884061,219817.000,33725,2,EA,1,100,1.147250
1742899276.951062,219884.000,33742,2,EA,1,100,1.146873
1742899277.018063,219951.000,33742,2,EA,1,100,1.146305
1742899277.084064,220017.000,33758,1,EA,1,100,1.146305
1742899277.151064,220084.000,33775,2,EA,1,100,1.146305
1742899277.218065,220151.000,33775,2,EA,1,100,1.145739
1742899277.284065,220217.000,33792,1,EA,1,100,1.145173
1742899277.351066,220284.000,33807,2,EA,1,100,1.144796
1742899277.418067,220351.000,33807,2,EA,1,100,1.144796
1742899277.484068,220417.000,33825,1,EA,1,100,1.144796
1742899277.551069,220484.000,33843,2,EA,1,100,1.144608
1742899277.618069,220551.000,33843,2,EA,1,100,1.144044
1742899277.684070,220617.000,33859,1,EA,1,100,1.144231
1742899277.751070,220684.000,33874,2,EA,1,100,1.145173
1742899277.818071,220751.000,33874,2,EA,1,100,1.145173
1742899277.884072,220817.000,33890,1,EA,1,100,1.144796
1742899277.951073,220884.000,33908,2,EA,1,100,1.144044
1742899278.018073,220951.000,33908,2,EA,1,100,1.143667
1742899278.084574,221017.500,33924,2,EA,1,100,1.143478
1742899278.151075,221084.000,33924,2,EA,1,100,1.143854
1742899278.218076,221151.000,33943,1,EA,1,100,1.143291
1742899278.284576,221217.500,33960,2,EA,1,100,1.143854
1742899278.351077,221284.000,33960,2,EA,1,100,1.144044
1742899278.418078,221351.000,33977,1,EA,1,100,1.143667
1742899278.484578,221417.500,33993,2,EA,1,100,1.144231
1742899278.551079,221484.000,33993,2,EA,1,100,1.143478
1742899278.618080,221551.000,34011,1,EA,1,100,1.142539
1742899278.684581,221617.500,34025,2,EA,1,100,1.142352
1742899278.751081,221684.000,34025,2,EA,1,100,1.142352
1742899278.817082,221750.000,34044,1,EA,1,100,1.141601
1742899278.884083,221817.000,34061,2,EA,1,100,1.140853
1742899278.951083,221884.000,34061,2,EA,1,100,1.140665
1742899279.018084,221951.000,34078,1,EA,1,100,1.139731
1742899279.084585,222017.500,34092,2,EA,1,100,1.139545
1742899279.151086,222084.000,34092,2,EA,1,100,1.138798
1742899279.217086,222150.000,34109,1,EA,1,100,1.137495
1742899279.284087,222217.000,34126,2,EA,1,100,1.136566
1742899279.351088,222284.000,34126,2,EA,1,100,1.135267
1742899279.418088,222351.000,34143,1,EA,1,100,1.133601
1742899279.484589,222417.500,34160,2,EA,1,100,1.133417
1742899279.551090,222484.000,34160,2,EA,1,100,1.132678
1742899279.617590,222550.500,34177,2,EA,1,100,1.131942
1742899279.684091,222617.000,34177,2,EA,1,100,1.131757
1742899279.751092,222684.000,34193,1,EA,1,100,1.131205
1742899279.817593,222750.500,34210,2,EA,1,100,1.131022
1742899279.884093,222817.000,34210,2,EA,1,100,1.129551
1742899279.951094,222884.000,34227,1,EA,1,100,1.128634
1742899280.017595,222950.500,34242,2,EA,1,100,1.128270
1742899280.084095,223017.000,34242,2,EA,1,100,1.127355
1742899280.151096,223084.000,34258,1,EA,1,100,1.127355
1742899280.217597,223150.500,34278,2,EA,1,100,1.127355
1742899280.284098,223217.000,34278,2,EA,1,100,1.126990
1742899280.351098,223284.000,34294,1,EA,1,100,1.126806
1742899280.417599,223350.500,34309,2,EA,1,100,1.126624
1742899280.484100,223417.000,34309,2,EA,1,100,1.126259
1742899280.551100,223484.000,34325,1,EA,1,100,1.126077
1742899280.617601,223550.500,34343,2,EA,1,100,1.124983
1742899280.684102,223617.000,34343,2,EA,1,100,1.124802
1742899280.750769,223683.667,34367,3,EA,1,100,1.124438
1742899280.817437,223750.333,34367,3,EA,1,100,1.124257
1742899280.884104,223817.000,34367,3,EA,1,100,1.123893
1742899280.951105,223884.000,34384,1,EA,1,100,1.123713
1742899281.017606,223950.500,34401,2,EA,1,100,1.123167
1742899281.084106,224017.000,34401,2,EA,1,100,1.123530
1742899281.151107,224084.000,34417,1,EA,1,100,1.123893
1742899281.217607,224150.500,34433,2,EA,1,100,1.123167
1742899281.284108,224217.000,34433,2,EA,1,100,1.122080
1742899281.351109,224284.000,34449,1,EA,1,100,1.122080
1742899281.417610,224350.500,34468,2,EA,1,100,1.121900
1742899281.484110,224417.000,34468,2,EA,1,100,1.121176
1742899281.551111,224484.000,34484,1,EA,1,100,1.121176
1742899281.617612,224550.500,34501,2,EA,1,100,1.120996
1742899281.684113,224617.000,34501,2,EA,1,100,1.120996
1742899281.750613,224683.500,34516,2,EA,1,100,1.120996
1742899281.817114,224750.000,34516,2,EA,1,100,1.120273
1742899281.884115,224817.000,34533,1,EA,1,100,1.119912
1742899281.950615,224883.500,34550,2,EA,1,100,1.119551
1742899282.017116,224950.000,34550,2,EA,1,100,1.118651
1742899282.084117,225017.000,34567,1,EA,1,100,1.117933
1742899282.150618,225083.500,34583,2,EA,1,100,1.117573
1742899282.217118,225150.000,34583,2,EA,1,100,1.117214
1742899282.284119,225217.000,34601,1,EA,1,100,1.116317
1742899282.350620,225283.500,34617,2,EA,1,100,1.115959
1742899282.417120,225350.000,34617,2,EA,1,100,1.115422
1742899282.484121,225417.000,34634,1,EA,1,100,1.114886
1742899282.550622,225483.500,34649,2,EA,1,100,1.114886
1742899282.617123,225550.000,34649,2,EA,1,100,1.114171
1742899282.684123,225617.000,34666,1,EA,1,100,1.113459
1742899282.750624,225683.500,34682,2,EA,1,100,1.113102
1742899282.817125,225750.000,34682,2,EA,1,100,1.113102
1742899282.884125,225817.000,34701,1,EA,1,100,1.112389
1742899282.950626,225883.500,34716,2,EA,1,100,1.112212
1742899283.017127,225950.000,34716,2,EA,1,100,1.111323
1742899283.084127,226017.000,34733,1,EA,1,100,1.111323
1742899283.150628,226083.500,34749,2,EA,1,100,1.111147
1742899283.217129,226150.000,34749,2,EA,1,100,1.110968
1742899283.284130,226217.000,34767,1,EA,1,100,1.110436
1742899283.350630,226283.500,34783,2,EA,1,100,1.110260
1742899283.417131,226350.000,34783,2,EA,1,100,1.109551
1742899283.484132,226417.000,34800,1,EA,1,100,1.108842
1742899283.550632,226483.500,34819,2,EA,1,100,1.108666
1742899283.617133,226550.000,34819,2,EA,1,100,1.108137
1742899283.684134,226617.000,34836,1,EA,1,100,1.107608
1742899283.750635,226683.500,34851,2,EA,1,100,1.107078
1742899283.817135,226750.000,34851,2,EA,1,100,1.106727
1742899283.883636,226816.500,34868,2,EA,1,100,1.107078
1742899283.950137,226883.000,34868,2,EA,1,100,1.106902
1742899284.017138,226950.000,34884,1,EA,1,100,1.106727
1742899284.083638,227016.500,34901,2,EA,1,100,1.106022
1742899284.150139,227083.000,34901,2,EA,1,100,1.106022
1742899284.217140,227150.000,34917,1,EA,1,100,1.105143
1742899284.283640,227216.500,34933,2,EA,1,100,1.104792
1742899284.350141,227283.000,34933,2,EA,1,100,1.104617
1742899284.417142,227350.000,34951,1,EA,1,100,1.104266
1742899284.483643,227416.500,34968,2,EA,1,100,1.104092
1742899284.550143,227483.000,34968,2,EA,1,100,1.103915
1742899284.617144,227550.000,34985,1,EA,1,100,1.103565
1742899284.683645,227616.500,35000,2,EA,1,100,1.103390
1742899284.750145,227683.000,35000,2,EA,1,100,1.103390
1742899284.817146,227750.000,35016,1,EA,1,100,1.103216
1742899284.883647,227816.500,35034,2,EA,1,100,1.102516
1742899284.950147,227883.000,35034,2,EA,1,100,1.102516
1742899285.017148,227950.000,35050,1,EA,1,100,1.102166
1742899285.083649,228016.500,35067,2,EA,1,100,1.101992
1742899285.150150,228083.000,35067,2,EA,1,100,1.101643
1742899285.217150,228150.000,35083,1,EA,1,100,1.101469
1742899285.283651,228216.500,35101,2,EA,1,100,1.101643
1742899285.350152,228283.000,35101,2,EA,1,100,1.101643
1742899285.417152,228350.000,35117,1,EA,1,100,1.101643
1742899285.483653,228416.500,35133,2,EA,1,100,1.101643
1742899285.550154,228483.000,35133,2,EA,1,100,1.101469
1742899285.617155,228550.000,35149,1,EA,1,100,1.100771
1742899285.683655,228616.500,35166,2,EA,1,100,1.100249
1742899285.750156,228683.000,35166,2,EA,1,100,1.100249
1742899285.817157,228750.000,35182,2,EA,1,100,1.099900
1742899285.884157,228817.000,35182,2,EA,1,100,1.099900
1742899285.950658,228883.500,35205,2,EA,1,100,1.099379
1742899286.017159,228950.000,35205,2,EA,1,100,1.099032
1742899286.083160,229016.000,35221,1,EA,1,100,1.099032
1742899286.150160,229083.000,35236,2,EA,1,100,1.099032
1742899286.217161,229150.000,35236,2,EA,1,100,1.098859
1742899286.283162,229216.000,35253,1,EA,1,100,1.097991
1742899286.350163,229283.000,35270,2,EA,1,100,1.097470
1742899286.417163,229350.000,35270,2,EA,1,100,1.097298
1742899286.483164,229416.000,35286,1,EA,1,100,1.096605
1742899286.550164,229483.000,35304,2,EA,1,100,1.096433
1742899286.617165,229550.000,35304,2,EA,1,100,1.095569
1742899286.683166,229616.000,35320,1,EA,1,100,1.095398
1742899286.750167,229683.000,35337,2,EA,1,100,1.095398
1742899286.817168,229750.000,35337,2,EA,1,100,1.094879
1742899286.883168,229816.000,35353,1,EA,1,100,1.094707
1742899286.950169,229883.000,35370,2,EA,1,100,1.094191
1742899287.017169,229950.000,35370,2,EA,1,100,1.093502
1742899287.083170,230016.000,35385,1,EA,1,100,1.092987
1742899287.150171,230083.000,35402,2,EA,1,100,1.092987
1742899287.217172,230150.000,35402,2,EA,1,100,1.092129
1742899287.283172,230216.000,35421,1,EA,1,100,1.091958
1742899287.350173,230283.000,35438,2,EA,1,100,1.091443
1742899287.417174,230350.000,35438,2,EA,1,100,1.091615
1742899287.483675,230416.500,35452,2,EA,1,100,1.091272
1742899287.550175,230483.000,35452,2,EA,1,100,1.091443
1742899287.617176,230550.000,35470,1,EA,1,100,1.091272
1742899287.683677,230616.500,35486,2,EA,1,100,1.091443
1742899287.750177,230683.000,35486,2,EA,1,100,1.090759
1742899287.817178,230750.000,35503,1,EA,1,100,1.089905
1742899287.883679,230816.500,35518,2,EA,1,100,1.089563
1742899287.950180,230883.000,35518,2,EA,1,100,1.089563
1742899288.017180,230950.000,35537,1,EA,1,100,1.089221
1742899288.083681,231016.500,35553,2,EA,1,100,1.088710
1742899288.150182,231083.000,35553,2,EA,1,100,1.088540
1742899288.217182,231150.000,35570,1,EA,1,100,1.088199
1742899288.283683,231216.500,35587,2,EA,1,100,1.087859
1742899288.350184,231283.000,35587,2,EA,1,100,1.087859
1742899288.416184,231349.000,35604,1,EA,1,100,1.087009
1742899288.483185,231416.000,35620,2,EA,1,100,1.086329
1742899288.550186,231483.000,35620,2,EA,1,100,1.085652
1742899288.616187,231549.000,35638,1,EA,1,100,1.085312
1742899288.683187,231616.000,35654,2,EA,1,100,1.085144
