LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899274.618037,217551.000,33353,2,EL,1,100,-18417.000000
1742899274.618037,217551.000,33353,2,EL,1,100,-18417.000000
1742899274.685038,217618.000,33372,1,EL,1,100,-18417.400391
1742899274.751539,217684.500,33388,2,EL,1,100,-18417.400391
1742899274.818039,217751.000,33388,2,EL,1,100,-18417.599609
1742899274.885040,217818.000,33405,1,EL,1,100,-18417.800781
1742899274.951541,217884.500,33420,2,EL,1,100,-18417.199219
1742899275.018041,217951.000,33420,2,EL,1,100,-18417.000000
1742899275.085042,218018.000,33437,1,EL,1,100,-18416.599609
1742899275.151543,218084.500,33453,2,EL,1,100,-18415.199219
1742899275.218044,218151.000,33453,2,EL,1,100,-18414.000000
1742899275.285044,218218.000,33471,1,EL,1,100,-18413.199219
1742899275.351545,218284.500,33488,2,EL,1,100,-18412.800781
1742899275.418046,218351.000,33488,2,EL,1,100,-18412.199219
1742899275.484546,218417.500,33504,2,EL,1,100,-18412.000000
1742899275.551047,218484.000,33504,2,EL,1,100,-18411.199219
1742899275.618048,218551.000,33521,1,EL,1,100,-18410.800781
1742899275.684548,218617.500,33543,2,EL,1,100,-18410.199219
1742899275.751049,218684.000,33543,2,EL,1,100,-18409.599609
1742899275.817550,218750.500,33559,2,EL,1,100,-18408.599609
1742899275.884051,218817.000,33559,2,EL,1,100,-18407.400391
1742899275.951051,218884.000,33577,1,EL,1,100,-18406.400391
1742899276.017552,218950.500,33591,2,EL,1,100,-18406.000000
1742899276.084053,219017.000,33591,2,EL,1,100,-18405.400391
1742899276.151053,219084.000,33610,1,EL,1,100,-18404.599609
1742899276.217554,219150.500,33627,2,EL,1,100,-18404.000000
1742899276.284055,219217.000,33627,2,EL,1,100,-18404.000000
1742899276.351056,219284.000,33644,1,EL,1,100,-18403.199219
1742899276.417556,219350.500,33658,2,EL,1,100,-18403.000000
1742899276.484057,219417.000,33658,2,EL,1,100,-18402.000000
1742899276.551058,219484.000,33675,1,EL,1,100,-18400.800781
1742899276.617558,219550.500,33692,2,EL,1,100,-18399.800781
1742899276.684059,219617.000,33692,2,EL,1,100,-18399.199219
1742899276.751060,219684.000,33709,1,EL,1,100,-18398.199219
1742899276.817561,219750.500,33726,2,EL,1,100,-18398.000000
1742899276.884061,219817.000,33726,2,EL,1,100,-18397.199219
1742899276.951062,219884.000,33743,2,EL,1,100,-18396.800781
1742899277.018063,219951.000,33743,2,EL,1,100,-18396.199219
1742899277.084064,220017.000,33759,1,EL,1,100,-18396.199219
1742899277.151064,220084.000,33776,2,EL,1,100,-18396.199219
1742899277.218065,220151.000,33776,2,EL,1,100,-18395.599609
1742899277.284065,220217.000,33793,1,EL,1,100,-18395.000000
1742899277.351066,220284.000,33808,2,EL,1,100,-18394.599609
1742899277.418067,220351.000,33808,2,EL,1,100,-18394.599609
1742899277.484068,220417.000,33826,1,EL,1,100,-18394.599609
1742899277.551069,220484.000,33844,2,EL,1,100,-18394.400391
1742899277.618069,220551.000,33844,2,EL,1,100,-18393.800781
1742899277.684070,220617.000,33860,1,EL,1,100,-18394.000000
1742899277.751070,220684.000,33875,2,EL,1,100,-18395.000000
