LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1742899274.533036,217466.000,33347,4,EM,1,100,RS
1742899274.533036,217466.000,33347,4,EM,1,100,RB
1742899274.533036,217466.000,33347,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899274.533036,217466.000,33347,4,EM,1,100,PS
1742899274.583287,217516.250,33365,4,EM,1,100,RS
1742899274.633537,217566.500,33365,4,EM,1,100,RB
1742899274.683788,217616.750,33365,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899274.734038,217667.000,33365,4,EM,1,100,PS
1742899274.784289,217717.250,33400,4,EM,1,100,RS
1742899274.834539,217767.500,33400,4,EM,1,100,RB
1742899274.884790,217817.750,33400,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899274.935040,217868.000,33400,4,EM,1,100,PS
1742899274.985291,217918.250,33432,4,EM,1,100,RS
1742899275.035542,217968.500,33432,4,EM,1,100,RB
1742899275.085792,218018.750,33432,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899275.136043,218069.000,33432,4,EM,1,100,PS
1742899275.187293,218120.250,33465,4,EM,1,100,RS
1742899275.238544,218171.500,33465,4,EM,1,100,RB
1742899275.289794,218222.750,33465,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899275.341045,218274.000,33465,4,EM,1,100,PS
1742899275.391045,218324.000,33499,4,EM,1,100,RS
1742899275.441046,218374.000,33499,4,EM,1,100,RB
1742899275.491046,218424.000,33499,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899275.541047,218474.000,33499,4,EM,1,100,PS
1742899275.604048,218537.000,33538,4,EM,1,100,RS
1742899275.667048,218600.000,33538,4,EM,1,100,RB
1742899275.730049,218663.000,33538,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899275.793050,218726.000,33538,4,EM,1,100,PS
1742899275.843300,218776.250,33571,4,EM,1,100,RS
1742899275.893551,218826.500,33571,4,EM,1,100,RB
1742899275.943801,218876.750,33571,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899275.994052,218927.000,33571,4,EM,1,100,PS
1742899276.044302,218977.250,33603,4,EM,1,100,RS
1742899276.094553,219027.500,33603,4,EM,1,100,RB
1742899276.144804,219077.750,33603,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899276.195054,219128.000,33603,4,EM,1,100,PS
1742899276.245305,219178.250,33639,4,EM,1,100,RS
1742899276.295555,219228.500,33639,4,EM,1,100,RB
1742899276.345806,219278.750,33639,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899276.396056,219329.000,33639,4,EM,1,100,PS
1742899276.446557,219379.500,33670,4,EM,1,100,RS
1742899276.497057,219430.000,33670,4,EM,1,100,RB
1742899276.547558,219480.500,33670,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899276.598058,219531.000,33670,4,EM,1,100,PS
1742899276.648309,219581.250,33704,4,EM,1,100,RS
1742899276.698559,219631.500,33704,4,EM,1,100,RB
1742899276.748810,219681.750,33704,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899276.799060,219732.000,33704,4,EM,1,100,PS
1742899276.849311,219782.250,33737,4,EM,1,100,RS
1742899276.899561,219832.500,33737,4,EM,1,100,RB
1742899276.949812,219882.750,33737,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899277.000062,219933.000,33737,4,EM,1,100,PS
1742899277.050313,219983.250,33771,4,EM,1,100,RS
1742899277.100564,220033.500,33771,4,EM,1,100,RB
1742899277.150814,220083.750,33771,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899277.201065,220134.000,33771,4,EM,1,100,PS
1742899277.251315,220184.250,33803,4,EM,1,100,RS
1742899277.301566,220234.500,33803,4,EM,1,100,RB
1742899277.351816,220284.750,33803,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899277.402067,220335.000,33803,4,EM,1,100,PS
1742899277.453067,220386.000,33838,4,EM,1,100,RS
1742899277.504068,220437.000,33838,4,EM,1,100,RB
1742899277.555068,220488.000,33838,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899277.606069,220539.000,33838,4,EM,1,100,PS
1742899277.656070,220589.000,33870,4,EM,1,100,RS
1742899277.706070,220639.000,33870,4,EM,1,100,RB
1742899277.756071,220689.000,33870,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899277.806071,220739.000,33870,4,EM,1,100,PS
1742899277.869822,220802.750,33903,4,EM,1,100,RS
1742899277.933573,220866.500,33903,4,EM,1,100,RB
1742899277.997323,220930.250,33903,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.061074,220994.000,33903,4,EM,1,100,PS
1742899278.111074,221044.000,33937,4,EM,1,100,RS
1742899278.161075,221094.000,33937,4,EM,1,100,RB
1742899278.211076,221144.000,33937,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.261076,221194.000,33937,4,EM,1,100,PS
1742899278.311327,221244.250,33973,4,EM,1,100,RS
1742899278.361577,221294.500,33973,4,EM,1,100,RB
1742899278.411828,221344.750,33973,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.462078,221395.000,33973,4,EM,1,100,PS
1742899278.512579,221445.500,34006,4,EM,1,100,RS
1742899278.563079,221496.000,34006,4,EM,1,100,RB
1742899278.613580,221546.500,34006,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.664080,221597.000,34006,4,EM,1,100,PS
1742899278.714081,221647.000,34038,4,EM,1,100,RS
1742899278.764081,221697.000,34038,4,EM,1,100,RB
1742899278.814082,221747.000,34038,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899278.864083,221797.000,34038,4,EM,1,100,PS
1742899278.914333,221847.250,34074,4,EM,1,100,RS
1742899278.964584,221897.500,34074,4,EM,1,100,RB
1742899279.014834,221947.750,34074,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.065085,221998.000,34074,4,EM,1,100,PS
1742899279.115335,222048.250,34105,4,EM,1,100,RS
1742899279.165586,222098.500,34105,4,EM,1,100,RB
1742899279.215836,222148.750,34105,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.266087,222199.000,34105,4,EM,1,100,PS
1742899279.316337,222249.250,34139,4,EM,1,100,RS
1742899279.366588,222299.500,34139,4,EM,1,100,RB
1742899279.416838,222349.750,34139,4,EM,1,100,2025-03-25_18-41-14-083733.csv
1742899279.467089,222400.000,34139,4,EM,1,100,PS
1742899279.517339,222450.250,34172,4,EM,1,100,RS
1742899279.567590,222500.500,34172,4,EM,1,100,RB
1742899279.617841,222550.750,34172,4,EM,1,100,2025-03-25_18-41-14-083733.csv
