LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1742899274.739038,217672,33367,1,HR,1,100,95.07
1742899275.419046,218352,33483,1,HR,1,100,93.55
1742899276.139053,219072,33605,1,HR,1,100,91.28
1742899276.819061,219752,33721,1,HR,1,100,90.60
1742899277.499068,220432,33821,1,HR,1,100,90.08
1742899278.179075,221112,33939,1,HR,1,100,89.67
1742899278.859082,221792,34040,1,HR,1,100,89.35
1742899279.539090,222472,34156,1,HR,1,100,89.10
1742899280.219097,223152,34273,1,HR,1,100,88.91
1742899280.859104,223792,34363,1,HR,1,100,89.99
1742899281.499111,224432,34464,1,HR,1,100,90.82
1742899282.178118,225111,34579,1,HR,1,100,90.25
1742899282.898126,225831,34697,1,HR,1,100,88.71
1742899283.618133,226551,34814,1,HR,1,100,87.52
1742899284.378141,227311,34947,1,HR,1,100,85.61
1742899285.098149,228031,35063,1,HR,1,100,85.11
1742899285.898158,228831,35200,1,HR,1,100,82.86
1742899286.578165,229511,35299,1,HR,1,100,84.05
1742899287.298172,230231,35416,1,HR,1,100,83.89
1742899288.018180,230951,35533,1,HR,1,100,83.77
1742899288.738188,231671,35650,1,HR,1,100,83.67
1742899289.458196,232391,35768,1,HR,1,100,83.60
1742899290.138203,233071,35883,1,HR,1,100,84.63
1742899290.858211,233791,35999,1,HR,1,100,84.34
1742899291.537218,234470,36103,1,HR,1,100,85.21
1742899292.258225,235191,36220,1,HR,1,100,84.79
1742899292.937233,235870,36336,1,HR,1,100,85.56
1742899293.657240,236590,36453,1,HR,1,100,85.06
1742899294.337248,237270,36572,1,HR,1,100,85.77
1742899295.097256,238030,36687,1,HR,1,100,84.25
1742899295.777263,238710,36803,1,HR,1,100,85.14
1742899296.457270,239390,36909,1,HR,1,100,85.83
1742899297.137278,240070,37025,1,HR,1,100,86.36
1742899297.897286,240830,37158,1,HR,1,100,84.71
1742899298.564293,241497,37259,1,HR,1,100,85.50
1742899299.204300,242137,37360,1,HR,1,100,87.33
1742899299.803306,242736,37459,1,HR,1,100,90.15
1742899300.483313,243416,37577,1,HR,1,100,89.72
1742899301.123320,244056,37676,1,HR,1,100,90.62
1742899301.843328,244776,37800,1,HR,1,100,89.00
1742899302.403334,245336,37885,1,HR,1,100,93.03
1742899303.003340,245936,37983,1,HR,1,100,94.58
1742899303.563346,246496,38086,1,HR,1,100,97.37
1742899304.243354,247176,38203,1,HR,1,100,95.34
1742899304.803360,247736,38288,1,HR,1,100,97.96
1742899305.643368,248576,38420,1,HR,1,100,92.07
1742899306.123374,249056,38504,1,HR,1,100,99.39
1742899306.723380,249656,38612,1,HR,1,100,99.52
1742899307.403387,250336,38711,1,HR,1,100,97.01
1742899308.123395,251056,38843,1,HR,1,100,93.97
1742899308.723402,251656,38930,1,HR,1,100,95.31
1742899309.362408,252295,39045,1,HR,1,100,94.97
1742899310.002415,252935,39145,1,HR,1,100,94.70
1742899310.602422,253535,39246,1,HR,1,100,95.87
1742899311.202428,254135,39345,1,HR,1,100,96.79
1742899311.882435,254815,39449,1,HR,1,100,94.89
1742899312.642443,255575,39582,1,HR,1,100,91.35
1742899313.202449,256135,39653,1,HR,1,100,94.86
1742899313.802456,256735,39754,1,HR,1,100,96.00
1742899314.482463,257415,39874,1,HR,1,100,94.27
1742899315.122470,258055,39973,1,HR,1,100,94.16
1742899315.802477,258735,40092,1,HR,1,100,92.84
1742899316.482484,259415,40208,1,HR,1,100,91.82
1742899317.122491,260055,40300,1,HR,1,100,92.25
1742899317.722498,260655,40401,1,HR,1,100,93.97
1742899318.362504,261295,40503,1,HR,1,100,93.92
1742899319.001511,261934,40621,1,HR,1,100,93.88
1742899319.601518,262534,40705,1,HR,1,100,95.24
1742899320.281525,263214,40820,1,HR,1,100,93.69
1742899320.961532,263894,40936,1,HR,1,100,92.47
1742899321.681540,264614,41060,1,HR,1,100,90.44
1742899322.361547,265294,41161,1,HR,1,100,89.95
1742899323.041554,265974,41262,1,HR,1,100,89.57
1742899323.681561,266614,41379,1,HR,1,100,90.50
1742899324.361568,267294,41482,1,HR,1,100,90.00
1742899325.081576,268014,41598,1,HR,1,100,88.52
1742899325.801584,268734,41713,1,HR,1,100,87.36
1742899326.441591,269374,41814,1,HR,1,100,88.78
1742899327.121598,270054,41918,1,HR,1,100,88.66
1742899327.721604,270654,42019,1,HR,1,100,91.18
1742899328.360611,271293,42103,1,HR,1,100,91.75
1742899328.960618,271893,42190,1,HR,1,100,93.59
1742899329.600625,272533,42290,1,HR,1,100,93.62
1742899330.160630,273093,42375,1,HR,1,100,96.63
1742899330.800637,273733,42492,1,HR,1,100,95.99
1742899331.400644,274333,42593,1,HR,1,100,96.88
1742899332.040651,274973,42682,1,HR,1,100,96.18
1742899332.680657,275613,42798,1,HR,1,100,95.64
1742899333.360665,276293,42900,1,HR,1,100,94.00
1742899334.120673,277053,43033,1,HR,1,100,90.65
1742899334.840681,277773,43149,1,HR,1,100,89.03
1742899335.426687,278359,43252,1,HR,1,100,91.46
1742899336.066694,278999,43356,1,HR,1,100,91.97
1742899336.786701,279719,43475,1,HR,1,100,90.05
1742899337.586710,280519,43616,1,HR,1,100,86.71
1742899338.266717,281199,43719,1,HR,1,100,87.05
1742899338.906724,281839,43837,1,HR,1,100,88.54
1742899339.546731,282479,43940,1,HR,1,100,89.70
1742899340.106737,283039,44024,1,HR,1,100,93.57
1742899340.866745,283799,44156,1,HR,1,100,90.32
1742899341.466751,284399,44255,1,HR,1,100,92.47
1742899342.266760,285199,44378,1,HR,1,100,88.59
1742899342.946767,285879,44493,1,HR,1,100,88.51
1742899343.666775,286599,44614,1,HR,1,100,87.36
1742899344.386782,287319,44729,1,HR,1,100,86.47
1742899345.065790,287998,44845,1,HR,1,100,86.86
1742899345.745797,288678,44946,1,HR,1,100,87.16
1742899346.465805,289398,45078,1,HR,1,100,86.31
1742899347.185812,290118,45195,1,HR,1,100,85.65
1742899347.945821,290878,45318,1,HR,1,100,84.16
1742899348.545827,291478,45406,1,HR,1,100,87.68
1742899349.225834,292158,45522,1,HR,1,100,87.80
1742899349.945842,292878,45639,1,HR,1,100,86.81
1742899350.625849,293558,45755,1,HR,1,100,87.13
1742899351.345857,294278,45871,1,HR,1,100,86.28
1742899352.025864,294958,45989,1,HR,1,100,86.72
1742899352.705871,295638,46080,1,HR,1,100,87.05
1742899353.425879,296358,46200,1,HR,1,100,86.23
1742899354.145887,297078,46319,1,HR,1,100,85.58
1742899354.825894,297758,46434,1,HR,1,100,86.17
1742899355.545902,298478,46550,1,HR,1,100,85.54
1742899356.264910,299197,46667,1,HR,1,100,85.05
1742899356.944917,299877,46783,1,HR,1,100,85.76
1742899357.664924,300597,46908,1,HR,1,100,85.22
1742899358.344932,301277,47008,1,HR,1,100,85.89
1742899359.024939,301957,47127,1,HR,1,100,86.41
1742899359.704946,302637,47244,1,HR,1,100,86.82
1742899360.344953,303277,47345,1,HR,1,100,88.36
1742899361.064961,303997,47461,1,HR,1,100,87.24
