LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1742899274.632037,217565.000,33364,3,MZ,1,100,227
1742899274.632037,217565.000,33364,3,MZ,1,100,227
1742899274.632037,217565.000,33364,3,MZ,1,100,227
1742899274.672038,217605.000,33383,2,MZ,1,100,228
1742899274.712038,217645.000,33383,2,MZ,1,100,227
1742899274.752038,217685.000,33399,3,MZ,1,100,226
1742899274.792039,217725.000,33399,3,MZ,1,100,228
1742899274.832039,217765.000,33399,3,MZ,1,100,227
1742899274.867707,217800.667,33414,3,MZ,1,100,227
1742899274.903373,217836.333,33414,3,MZ,1,100,227
1742899274.939040,217872.000,33414,3,MZ,1,100,226
1742899274.979041,217912.000,33431,2,MZ,1,100,227
1742899275.019041,217952.000,33431,2,MZ,1,100,227
1742899275.059042,217992.000,33448,3,MZ,1,100,227
1742899275.099042,218032.000,33448,3,MZ,1,100,227
1742899275.139043,218072.000,33448,3,MZ,1,100,227
1742899275.179043,218112.000,33464,2,MZ,1,100,227
1742899275.219043,218152.000,33464,2,MZ,1,100,228
1742899275.259044,218192.000,33481,3,MZ,1,100,228
1742899275.299044,218232.000,33481,3,MZ,1,100,227
1742899275.339045,218272.000,33481,3,MZ,1,100,227
1742899275.379045,218312.000,33498,2,MZ,1,100,227
1742899275.419046,218352.000,33498,2,MZ,1,100,227
1742899275.459046,218392.000,33515,3,MZ,1,100,227
1742899275.499047,218432.000,33515,3,MZ,1,100,227
1742899275.539047,218472.000,33515,3,MZ,1,100,228
1742899275.579047,218512.000,33532,2,MZ,1,100,227
1742899275.619048,218552.000,33532,2,MZ,1,100,227
1742899275.659048,218592.000,33554,4,MZ,1,100,227
1742899275.699049,218632.000,33554,4,MZ,1,100,227
1742899275.739049,218672.000,33554,4,MZ,1,100,227
1742899275.779049,218712.000,33554,4,MZ,1,100,227
1742899275.819050,218752.000,33570,3,MZ,1,100,228
1742899275.859050,218792.000,33570,3,MZ,1,100,227
1742899275.899051,218832.000,33570,3,MZ,1,100,227
1742899275.939051,218872.000,33586,2,MZ,1,100,226
1742899275.979052,218912.000,33586,2,MZ,1,100,227
1742899276.014385,218947.333,33602,3,MZ,1,100,226
1742899276.049719,218982.667,33602,3,MZ,1,100,227
1742899276.085053,219018.000,33602,3,MZ,1,100,226
1742899276.125053,219058.000,33621,3,MZ,1,100,226
1742899276.165054,219098.000,33621,3,MZ,1,100,226
1742899276.205054,219138.000,33621,3,MZ,1,100,227
1742899276.245054,219178.000,33638,2,MZ,1,100,226
1742899276.285055,219218.000,33638,2,MZ,1,100,227
1742899276.325055,219258.000,33653,3,MZ,1,100,228
1742899276.365056,219298.000,33653,3,MZ,1,100,227
1742899276.405056,219338.000,33653,3,MZ,1,100,227
1742899276.445057,219378.000,33669,2,MZ,1,100,227
1742899276.485057,219418.000,33669,2,MZ,1,100,227
1742899276.525058,219458.000,33686,3,MZ,1,100,227
1742899276.565058,219498.000,33686,3,MZ,1,100,226
1742899276.605058,219538.000,33686,3,MZ,1,100,228
1742899276.645059,219578.000,33703,2,MZ,1,100,226
1742899276.685059,219618.000,33703,2,MZ,1,100,227
1742899276.725060,219658.000,33719,3,MZ,1,100,228
1742899276.765060,219698.000,33719,3,MZ,1,100,226
1742899276.805060,219738.000,33719,3,MZ,1,100,226
1742899276.845061,219778.000,33736,2,MZ,1,100,226
1742899276.885061,219818.000,33736,2,MZ,1,100,226
1742899276.925062,219858.000,33754,3,MZ,1,100,227
1742899276.965062,219898.000,33754,3,MZ,1,100,226
1742899277.005063,219938.000,33754,3,MZ,1,100,225
1742899277.045063,219978.000,33770,2,MZ,1,100,227
1742899277.085063,220018.000,33770,2,MZ,1,100,227
1742899277.120730,220053.667,33787,3,MZ,1,100,227
1742899277.156398,220089.333,33787,3,MZ,1,100,227
1742899277.192065,220125.000,33787,3,MZ,1,100,227
1742899277.232065,220165.000,33802,3,MZ,1,100,226
1742899277.272065,220205.000,33802,3,MZ,1,100,227
1742899277.312066,220245.000,33802,3,MZ,1,100,226
1742899277.352066,220285.000,33819,2,MZ,1,100,226
1742899277.392067,220325.000,33819,2,MZ,1,100,228
1742899277.432067,220365.000,33837,3,MZ,1,100,228
1742899277.472068,220405.000,33837,3,MZ,1,100,228
1742899277.512068,220445.000,33837,3,MZ,1,100,227
1742899277.552068,220485.000,33855,2,MZ,1,100,226
1742899277.592069,220525.000,33855,2,MZ,1,100,227
1742899277.632069,220565.000,33869,3,MZ,1,100,228
1742899277.672070,220605.000,33869,3,MZ,1,100,227
1742899277.712070,220645.000,33869,3,MZ,1,100,228
1742899277.752071,220685.000,33886,3,MZ,1,100,227
1742899277.792071,220725.000,33886,3,MZ,1,100,228
1742899277.832072,220765.000,33886,3,MZ,1,100,226
1742899277.872072,220805.000,33902,2,MZ,1,100,227
1742899277.912072,220845.000,33902,2,MZ,1,100,227
1742899277.951739,220884.667,33920,3,MZ,1,100,227
1742899277.991406,220924.333,33920,3,MZ,1,100,226
1742899278.031074,220964.000,33920,3,MZ,1,100,226
1742899278.071407,221004.333,33936,3,MZ,1,100,226
1742899278.111741,221044.667,33936,3,MZ,1,100,227
1742899278.152075,221085.000,33936,3,MZ,1,100,226
1742899278.187742,221120.667,33953,3,MZ,1,100,226
1742899278.223409,221156.333,33953,3,MZ,1,100,228
1742899278.259076,221192.000,33953,3,MZ,1,100,226
1742899278.299076,221232.000,33972,2,MZ,1,100,226
1742899278.339077,221272.000,33972,2,MZ,1,100,227
1742899278.379077,221312.000,33989,3,MZ,1,100,227
1742899278.419078,221352.000,33989,3,MZ,1,100,227
1742899278.459078,221392.000,33989,3,MZ,1,100,226
1742899278.499079,221432.000,34005,2,MZ,1,100,227
1742899278.539079,221472.000,34005,2,MZ,1,100,227
1742899278.579079,221512.000,34021,3,MZ,1,100,227
1742899278.619080,221552.000,34021,3,MZ,1,100,227
1742899278.659080,221592.000,34021,3,MZ,1,100,228
1742899278.699081,221632.000,34037,2,MZ,1,100,226
1742899278.739081,221672.000,34037,2,MZ,1,100,226
1742899278.779082,221712.000,34056,3,MZ,1,100,227
1742899278.819082,221752.000,34056,3,MZ,1,100,228
1742899278.859082,221792.000,34056,3,MZ,1,100,227
1742899278.899083,221832.000,34073,2,MZ,1,100,228
1742899278.939083,221872.000,34073,2,MZ,1,100,227
1742899278.979084,221912.000,34088,3,MZ,1,100,227
1742899279.019084,221952.000,34088,3,MZ,1,100,226
1742899279.059085,221992.000,34088,3,MZ,1,100,227
1742899279.099085,222032.000,34104,3,MZ,1,100,228
1742899279.139085,222072.000,34104,3,MZ,1,100,227
1742899279.179086,222112.000,34104,3,MZ,1,100,227
1742899279.219086,222152.000,34121,2,MZ,1,100,226
1742899279.259087,222192.000,34121,2,MZ,1,100,226
1742899279.299087,222232.000,34138,3,MZ,1,100,227
1742899279.339087,222272.000,34138,3,MZ,1,100,227
1742899279.379088,222312.000,34138,3,MZ,1,100,226
1742899279.412088,222345.000,34154,2,MZ,1,100,227
1742899279.445089,222378.000,34154,2,MZ,1,100,226
1742899279.485089,222418.000,34171,3,MZ,1,100,226
1742899279.525090,222458.000,34171,3,MZ,1,100,226
1742899279.565090,222498.000,34171,3,MZ,1,100,227
1742899279.605090,222538.000,34189,3,MZ,1,100,227
1742899279.645091,222578.000,34189,3,MZ,1,100,228
1742899279.685091,222618.000,34189,3,MZ,1,100,226
1742899279.725092,222658.000,34205,2,MZ,1,100,226
1742899279.765092,222698.000,34205,2,MZ,1,100,227
1742899279.805093,222738.000,34222,3,MZ,1,100,227
1742899279.845093,222778.000,34222,3,MZ,1,100,226
1742899279.885093,222818.000,34222,3,MZ,1,100,226
1742899279.925094,222858.000,34237,2,MZ,1,100,227
1742899279.965094,222898.000,34237,2,MZ,1,100,227
1742899280.005095,222938.000,34254,3,MZ,1,100,228
1742899280.045095,222978.000,34254,3,MZ,1,100,226
1742899280.085095,223018.000,34254,3,MZ,1,100,226
1742899280.125096,223058.000,34270,2,MZ,1,100,226
1742899280.165096,223098.000,34270,2,MZ,1,100,226
1742899280.205097,223138.000,34290,3,MZ,1,100,227
1742899280.245097,223178.000,34290,3,MZ,1,100,226
1742899280.285098,223218.000,34290,3,MZ,1,100,228
1742899280.325098,223258.000,34304,2,MZ,1,100,227
1742899280.365098,223298.000,34304,2,MZ,1,100,226
1742899280.405099,223338.000,34321,3,MZ,1,100,227
1742899280.445099,223378.000,34321,3,MZ,1,100,228
1742899280.485100,223418.000,34321,3,MZ,1,100,226
1742899280.520433,223453.333,34337,3,MZ,1,100,227
1742899280.555767,223488.667,34337,3,MZ,1,100,226
1742899280.591101,223524.000,34337,3,MZ,1,100,227
1742899280.631101,223564.000,34355,2,MZ,1,100,226
1742899280.671102,223604.000,34355,2,MZ,1,100,227
1742899280.711102,223644.000,34379,5,MZ,1,100,227
1742899280.751103,223684.000,34379,5,MZ,1,100,226
1742899280.791103,223724.000,34379,5,MZ,1,100,227
1742899280.831104,223764.000,34379,5,MZ,1,100,227
1742899280.871104,223804.000,34379,5,MZ,1,100,227
