LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1742899274.619037,217552.000,33351,3,PG,1,100,12191
1742899274.619037,217552.000,33351,3,PG,1,100,12225
1742899274.619037,217552.000,33351,3,PG,1,100,12259
1742899274.659038,217592.000,33370,3,PG,1,100,12285
1742899274.699038,217632.000,33370,3,PG,1,100,12311
1742899274.739038,217672.000,33370,3,PG,1,100,12346
1742899274.779039,217712.000,33386,2,PG,1,100,12392
1742899274.819039,217752.000,33386,2,PG,1,100,12434
1742899274.859040,217792.000,33403,3,PG,1,100,12489
1742899274.899040,217832.000,33403,3,PG,1,100,12520
1742899274.939040,217872.000,33403,3,PG,1,100,12555
1742899274.979041,217912.000,33418,2,PG,1,100,12607
1742899275.019041,217952.000,33418,2,PG,1,100,12630
1742899275.059042,217992.000,33435,3,PG,1,100,12638
1742899275.099042,218032.000,33435,3,PG,1,100,12481
1742899275.139043,218072.000,33435,3,PG,1,100,12297
1742899275.179043,218112.000,33451,2,PG,1,100,12250
1742899275.219043,218152.000,33451,2,PG,1,100,12268
1742899275.259044,218192.000,33469,3,PG,1,100,12316
1742899275.299044,218232.000,33469,3,PG,1,100,12357
1742899275.339045,218272.000,33469,3,PG,1,100,12383
1742899275.379045,218312.000,33486,2,PG,1,100,12386
1742899275.419046,218352.000,33486,2,PG,1,100,12413
1742899275.459046,218392.000,33502,3,PG,1,100,12456
1742899275.499047,218432.000,33502,3,PG,1,100,12485
1742899275.539047,218472.000,33502,3,PG,1,100,12543
1742899275.579047,218512.000,33519,2,PG,1,100,12574
1742899275.619048,218552.000,33519,2,PG,1,100,12616
1742899275.659048,218592.000,33541,4,PG,1,100,12659
1742899275.699049,218632.000,33541,4,PG,1,100,12702
1742899275.739049,218672.000,33541,4,PG,1,100,12700
1742899275.779049,218712.000,33541,4,PG,1,100,12555
1742899275.819050,218752.000,33557,3,PG,1,100,12322
1742899275.859050,218792.000,33557,3,PG,1,100,12223
1742899275.899051,218832.000,33557,3,PG,1,100,12216
1742899275.939051,218872.000,33575,2,PG,1,100,12248
1742899275.979052,218912.000,33575,2,PG,1,100,12300
1742899276.019052,218952.000,33589,3,PG,1,100,12327
1742899276.059052,218992.000,33589,3,PG,1,100,12361
1742899276.099053,219032.000,33589,3,PG,1,100,12356
1742899276.139053,219072.000,33608,2,PG,1,100,12392
1742899276.179054,219112.000,33608,2,PG,1,100,12426
1742899276.219054,219152.000,33625,3,PG,1,100,12473
1742899276.259055,219192.000,33625,3,PG,1,100,12513
1742899276.299055,219232.000,33625,3,PG,1,100,12563
1742899276.339056,219272.000,33642,2,PG,1,100,12612
1742899276.379056,219312.000,33642,2,PG,1,100,12638
1742899276.419056,219352.000,33656,3,PG,1,100,12632
1742899276.459057,219392.000,33656,3,PG,1,100,12409
