LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1742899274.619037,217552.000,33349,3,PI,1,100,172848
1742899274.619037,217552.000,33349,3,PI,1,100,172993
1742899274.619037,217552.000,33349,3,PI,1,100,173062
1742899274.659038,217592.000,33368,3,PI,1,100,173098
1742899274.699038,217632.000,33368,3,PI,1,100,173199
1742899274.739038,217672.000,33368,3,PI,1,100,173314
1742899274.779039,217712.000,33384,2,PI,1,100,173451
1742899274.819039,217752.000,33384,2,PI,1,100,173613
1742899274.859040,217792.000,33401,3,PI,1,100,173790
1742899274.899040,217832.000,33401,3,PI,1,100,173906
1742899274.939040,217872.000,33401,3,PI,1,100,174029
1742899274.979041,217912.000,33416,2,PI,1,100,174137
1742899275.019041,217952.000,33416,2,PI,1,100,174232
1742899275.059042,217992.000,33433,3,PI,1,100,174044
1742899275.099042,218032.000,33433,3,PI,1,100,173291
1742899275.139043,218072.000,33433,3,PI,1,100,172829
1742899275.179043,218112.000,33449,2,PI,1,100,172853
1742899275.219043,218152.000,33449,2,PI,1,100,173016
1742899275.259044,218192.000,33467,3,PI,1,100,173205
1742899275.299044,218232.000,33467,3,PI,1,100,173333
1742899275.339045,218272.000,33467,3,PI,1,100,173362
1742899275.379045,218312.000,33484,2,PI,1,100,173416
1742899275.419046,218352.000,33484,2,PI,1,100,173481
1742899275.459046,218392.000,33500,3,PI,1,100,173590
1742899275.499047,218432.000,33500,3,PI,1,100,173720
1742899275.539047,218472.000,33500,3,PI,1,100,173882
1742899275.579047,218512.000,33517,2,PI,1,100,173999
1742899275.619048,218552.000,33517,2,PI,1,100,174107
1742899275.659048,218592.000,33539,4,PI,1,100,174211
1742899275.699049,218632.000,33539,4,PI,1,100,174326
1742899275.739049,218672.000,33539,4,PI,1,100,174192
1742899275.779049,218712.000,33539,4,PI,1,100,173418
1742899275.819050,218752.000,33555,3,PI,1,100,172817
1742899275.859050,218792.000,33555,3,PI,1,100,172744
1742899275.899051,218832.000,33555,3,PI,1,100,172848
1742899275.939051,218872.000,33573,2,PI,1,100,172998
