LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1742899274.619037,217552.000,33350,3,PR,1,100,163573
1742899274.619037,217552.000,33350,3,PR,1,100,163634
1742899274.619037,217552.000,33350,3,PR,1,100,163664
1742899274.659038,217592.000,33369,3,PR,1,100,163689
1742899274.699038,217632.000,33369,3,PR,1,100,163729
1742899274.739038,217672.000,33369,3,PR,1,100,163779
1742899274.779039,217712.000,33385,2,PR,1,100,163841
1742899274.819039,217752.000,33385,2,PR,1,100,163915
1742899274.859040,217792.000,33402,3,PR,1,100,163985
1742899274.899040,217832.000,33402,3,PR,1,100,164036
1742899274.939040,217872.000,33402,3,PR,1,100,164087
1742899274.979041,217912.000,33417,2,PR,1,100,164131
1742899275.019041,217952.000,33417,2,PR,1,100,164157
1742899275.059042,217992.000,33434,3,PR,1,100,164087
1742899275.099042,218032.000,33434,3,PR,1,100,163783
1742899275.139043,218072.000,33434,3,PR,1,100,163592
1742899275.179043,218112.000,33450,2,PR,1,100,163587
1742899275.219043,218152.000,33450,2,PR,1,100,163671
1742899275.259044,218192.000,33468,3,PR,1,100,163749
1742899275.299044,218232.000,33468,3,PR,1,100,163804
1742899275.339045,218272.000,33468,3,PR,1,100,163827
1742899275.379045,218312.000,33485,2,PR,1,100,163842
1742899275.419046,218352.000,33485,2,PR,1,100,163884
1742899275.459046,218392.000,33501,3,PR,1,100,163925
1742899275.499047,218432.000,33501,3,PR,1,100,163986
1742899275.539047,218472.000,33501,3,PR,1,100,164040
1742899275.579047,218512.000,33518,2,PR,1,100,164100
1742899275.619048,218552.000,33518,2,PR,1,100,164138
1742899275.659048,218592.000,33540,4,PR,1,100,164181
1742899275.699049,218632.000,33540,4,PR,1,100,164223
1742899275.739049,218672.000,33540,4,PR,1,100,164172
1742899275.779049,218712.000,33540,4,PR,1,100,163860
1742899275.819050,218752.000,33556,3,PR,1,100,163590
1742899275.859050,218792.000,33556,3,PR,1,100,163544
1742899275.899051,218832.000,33556,3,PR,1,100,163590
1742899275.939051,218872.000,33574,2,PR,1,100,163642
1742899275.979052,218912.000,33574,2,PR,1,100,163717
1742899276.019052,218952.000,33588,3,PR,1,100,163743
1742899276.059052,218992.000,33588,3,PR,1,100,163767
1742899276.099053,219032.000,33588,3,PR,1,100,163768
1742899276.139053,219072.000,33607,2,PR,1,100,163837
1742899276.179054,219112.000,33607,2,PR,1,100,163908
1742899276.219054,219152.000,33624,3,PR,1,100,163931
1742899276.259055,219192.000,33624,3,PR,1,100,164005
1742899276.299055,219232.000,33624,3,PR,1,100,164054
1742899276.339056,219272.000,33641,2,PR,1,100,164088
1742899276.379056,219312.000,33641,2,PR,1,100,164143
1742899276.419056,219352.000,33655,3,PR,1,100,164029
1742899276.459057,219392.000,33655,3,PR,1,100,163694
1742899276.499057,219432.000,33655,3,PR,1,100,163451
1742899276.539058,219472.000,33672,2,PR,1,100,163436
1742899276.579058,219512.000,33672,2,PR,1,100,163477
1742899276.619058,219552.000,33689,3,PR,1,100,163529
1742899276.659059,219592.000,33689,3,PR,1,100,163587
1742899276.699059,219632.000,33689,3,PR,1,100,163644
1742899276.739060,219672.000,33706,2,PR,1,100,163656
1742899276.779060,219712.000,33706,2,PR,1,100,163682
1742899276.819061,219752.000,33723,3,PR,1,100,163730
1742899276.859061,219792.000,33723,3,PR,1,100,163795
1742899276.899061,219832.000,33723,3,PR,1,100,163863
1742899276.939062,219872.000,33740,3,PR,1,100,163925
1742899276.979062,219912.000,33740,3,PR,1,100,163979
1742899277.019063,219952.000,33740,3,PR,1,100,164029
1742899277.059063,219992.000,33756,2,PR,1,100,164072
1742899277.099064,220032.000,33756,2,PR,1,100,164007
