LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1742899275.691049,218624.000,33537,2,RD,1,100,TL
1742899275.691049,218624.000,33537,2,RD,1,100,TU
1742899278.244576,221177.500,34360,2,RD,1,100,TL
1742899280.798103,223731.000,34360,2,RD,1,100,TU
1742899283.359631,226292.500,35195,2,RD,1,100,TL
1742899285.921158,228854.000,35195,2,RD,1,100,TU
1742899288.480185,231413.000,36035,2,RD,1,100,TL
1742899291.039212,233972.000,36035,2,RD,1,100,TU
1742899293.600240,236533.000,36872,2,RD,1,100,TL
1742899296.161267,239094.000,36872,2,RD,1,100,TU
1742899298.720295,241653.000,37713,2,RD,1,100,TL
1742899301.279322,244212.000,37713,2,RD,1,100,TU
1742899303.832849,246765.500,38559,2,RD,1,100,TL
1742899306.386377,249319.000,38559,2,RD,1,100,TU
1742899308.939404,251872.000,39394,2,RD,1,100,TL
1742899311.492431,254425.000,39394,2,RD,1,100,TU
1742899314.054958,256987.500,40227,2,RD,1,100,TL
1742899316.617486,259550.000,40227,2,RD,1,100,TU
1742899319.171513,262104.000,41055,2,RD,1,100,TL
1742899321.725540,264658.000,41055,2,RD,1,100,TU
1742899324.279568,267212.000,41882,2,RD,1,100,TL
1742899326.833595,269766.000,41882,2,RD,1,100,TU
1742899329.388622,272321.000,42679,2,RD,1,100,TL
1742899331.943650,274876.000,42679,2,RD,1,100,TU
1742899334.506177,277438.500,43528,2,RD,1,100,TL
1742899337.068704,280001.000,43528,2,RD,1,100,TU
1742899339.630232,282562.500,44373,2,RD,1,100,TL
1742899342.191759,285124.000,44373,2,RD,1,100,TU
1742899344.746286,287678.500,45214,2,RD,1,100,TL
1742899347.300814,290233.000,45214,2,RD,1,100,TU
1742899349.854341,292786.500,46040,2,RD,1,100,TL
1742899352.407868,295340.000,46040,2,RD,1,100,TU
1742899354.970896,297903.000,46886,2,RD,1,100,TL
1742899357.533923,300466.000,46886,2,RD,1,100,TU
1742899360.089950,303022.000,47728,2,RD,1,100,TL
1742899362.645977,305578.000,47728,2,RD,1,100,TU
1742899365.208505,308140.500,48565,2,RD,1,100,TL
1742899367.771032,310703.000,48565,2,RD,1,100,TU
1742899370.325060,313257.000,49404,2,RD,1,100,TL
1742899372.879087,315811.000,49404,2,RD,1,100,TU
1742899375.435614,318367.500,50248,2,RD,1,100,TL
1742899377.992141,320924.000,50248,2,RD,1,100,TU
1742899380.558669,323490.500,51089,2,RD,1,100,TL
1742899383.125196,326057.000,51089,2,RD,1,100,TU
1742899385.681724,328613.500,51928,2,RD,1,100,TL
1742899388.238251,331170.000,51928,2,RD,1,100,TU
1742899390.797278,333729.000,52766,2,RD,1,100,TL
1742899393.356306,336288.000,52766,2,RD,1,100,TU
1742899395.912333,338844.000,53605,2,RD,1,100,TL
1742899398.468360,341400.000,53605,2,RD,1,100,TU
1742899401.029388,343961.000,54450,2,RD,1,100,TL
1742899403.590415,346522.000,54450,2,RD,1,100,TU
1742899406.148442,349080.000,55289,2,RD,1,100,TL
1742899408.706470,351638.000,55289,2,RD,1,100,TU
1742899411.264997,354196.500,56126,2,RD,1,100,TL
1742899413.823524,356755.000,56126,2,RD,1,100,TU
1742899416.378052,359309.500,56949,2,RD,1,100,TL
1742899418.932579,361864.000,56949,2,RD,1,100,TU
1742899421.491106,364422.500,57791,2,RD,1,100,TL
1742899424.049634,366981.000,57791,2,RD,1,100,TU
1742899426.615161,369546.500,58631,2,RD,1,100,TL
1742899429.180688,372112.000,58631,2,RD,1,100,TU
1742899431.741216,374672.500,59475,2,RD,1,100,TL
1742899434.301743,377233.000,59475,2,RD,1,100,TU
1742899436.858270,379789.500,60325,2,RD,1,100,TL
1742899439.414798,382346.000,60325,2,RD,1,100,TU
1742899441.972825,384904.000,61166,2,RD,1,100,TL
1742899444.530852,387462.000,61166,2,RD,1,100,TU
1742899447.095380,390026.500,62016,2,RD,1,100,TL
1742899449.659907,392591.000,62016,2,RD,1,100,TU
1742899452.212934,395144.000,62842,2,RD,1,100,TL
1742899454.765962,397697.000,62842,2,RD,1,100,TU
1742899457.327989,400259.000,63683,2,RD,1,100,TL
1742899459.890017,402821.000,63683,2,RD,1,100,TU
1742899462.449044,405380.000,64533,2,RD,1,100,TL
1742899465.008071,407939.000,64533,2,RD,1,100,TU
1742899467.565598,410496.500,65374,2,RD,1,100,TL
1742899470.123126,413054.000,65374,2,RD,1,100,TU
1742899472.689653,415620.500,681,2,RD,1,100,TL
1742899475.256181,418187.000,681,2,RD,1,100,TU
1742899477.809708,420740.500,1523,2,RD,1,100,TL
1742899480.363235,423294.000,1523,2,RD,1,100,TU
1742899482.919763,425850.500,2368,2,RD,1,100,TL
1742899485.476290,428407.000,2368,2,RD,1,100,TU
1742899488.033317,430964.000,3209,2,RD,1,100,TL
1742899490.590344,433521.000,3209,2,RD,1,100,TU
1742899493.144372,436075.000,4048,2,RD,1,100,TL
1742899495.698399,438629.000,4048,2,RD,1,100,TU
1742899498.256426,441187.000,4887,2,RD,1,100,TL
1742899500.814454,443745.000,4887,2,RD,1,100,TU
