LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1742899300.282311,243215,37732,1,SA,1,100,0.061513
1742899303.282343,246215,38119,1,SA,1,100,0.009882
1742899305.082363,248015,38505,1,SA,1,100,0.042938
1742899312.414441,255347,39583,1,SA,1,100,0.003468
1742899313.748455,256681,39772,1,SA,1,100,0.001170
1742899314.881467,257814,40024,1,SA,1,100,0.033759
1742899315.881478,258814,40231,1,SA,1,100,0.049157
1742899317.747498,260680,40433,1,SA,1,100,0.001194
1742899323.013554,265946,41413,1,SA,1,100,0.081949
1742899329.680625,272613,42473,1,SA,1,100,0.168246
1742899334.413676,277346,43150,1,SA,1,100,0.038024
1742899334.879681,277812,43285,1,SA,1,100,0.084784
1742899335.946692,278879,43388,1,SA,1,100,0.028631
1742899336.478698,279411,43566,1,SA,1,100,0.105528
1742899337.545709,280478,43618,1,SA,1,100,0.006013
1742899338.545720,281478,43920,1,SA,1,100,0.112478
1742899346.678807,289611,45176,1,SA,1,100,0.011448
1742899347.877820,290810,45336,1,SA,1,100,0.019361
1742899352.277867,295210,46059,1,SA,1,100,0.009363
1742899353.010875,295943,46266,1,SA,1,100,0.055212
1742899359.143940,302076,47176,1,SA,1,100,0.001471
1742899379.208154,322140,50554,1,SA,1,100,0.015399
1742899432.337722,375269,59322,1,SA,1,100,0.163601
1742899433.470734,376402,59375,1,SA,1,100,0.026262
1742899434.470745,377402,59547,1,SA,1,100,0.024801
1742899435.469756,378401,59748,1,SA,1,100,0.025301
1742899436.403766,379335,59901,1,SA,1,100,0.026855
1742899437.936782,380868,60172,1,SA,1,100,0.054978
1742899441.070816,384002,60697,1,SA,1,100,0.100230
1742899444.536853,387468,61206,1,SA,1,100,0.011623
1742899444.869856,387801,61256,1,SA,1,100,0.013014
1742899446.869877,389801,61592,1,SA,1,100,0.004616
1742899447.468884,390400,61777,1,SA,1,100,0.098612
1742899452.801941,395733,62805,1,SA,1,100,0.125133
1742899457.335989,400267,63362,1,SA,1,100,0.020516
1742899459.601013,402532,63687,1,SA,1,100,0.007786
1742899460.002018,402933,63789,1,SA,1,100,0.049679
1742899463.868059,406799,64429,1,SA,1,100,0.027030
1742899466.601088,409532,65037,1,SA,1,100,0.112037
1742899470.200127,413131,65412,1,SA,1,100,0.004856
1742899470.468130,413399,65529,1,SA,1,100,0.020654
1742899476.333192,419264,935,1,SA,1,100,0.028418
1742899480.666239,423597,1676,1,SA,1,100,0.087395
1742899481.933252,424864,1829,1,SA,1,100,0.025660
1742899483.266266,426197,2033,1,SA,1,100,0.009758
