LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1742899274.618037,217551.000,33348,1,SF,1,100,7.4385
1742899275.018041,217951.000,33415,1,SF,1,100,7.3524
1742899275.285044,218218.000,33466,1,SF,1,100,7.2674
1742899275.618048,218551.000,33516,1,SF,1,100,7.1833
1742899275.951051,218884.000,33572,1,SF,1,100,7.1002
1742899276.284055,219217.000,33622,1,SF,1,100,7.0181
1742899276.684059,219617.000,33687,1,SF,1,100,6.9369
1742899277.018063,219951.000,33738,1,SF,1,100,6.8566
1742899277.284065,220217.000,33788,1,SF,1,100,6.7773
1742899277.618069,220551.000,33839,1,SF,1,100,6.6989
1742899278.018073,220951.000,33904,1,SF,1,100,6.6214
1742899278.351077,221284.000,33956,1,SF,1,100,6.5448
1742899278.618080,221551.000,34007,1,SF,1,100,6.4691
1742899278.951083,221884.000,34057,1,SF,1,100,6.3943
1742899279.351088,222284.000,34122,1,SF,1,100,6.3203
1742899279.684091,222617.000,34173,1,SF,1,100,6.2472
1742899279.951094,222884.000,34223,1,SF,1,100,6.1749
1742899280.284098,223217.000,34274,1,SF,1,100,6.1035
1742899280.684102,223617.000,34339,1,SF,1,100,6.0329
1742899280.951105,223884.000,34380,1,SF,1,100,5.9631
1742899281.284108,224217.000,34429,1,SF,1,100,5.8941
1742899281.684113,224617.000,34497,1,SF,1,100,5.8259
1742899282.017116,224950.000,34546,1,SF,1,100,5.7585
1742899282.284119,225217.000,34597,1,SF,1,100,5.6919
1742899282.617123,225550.000,34645,1,SF,1,100,5.6261
1742899283.017127,225950.000,34712,1,SF,1,100,5.5610
1742899283.284130,226217.000,34763,1,SF,1,100,5.4967
1742899283.617133,226550.000,34815,1,SF,1,100,5.4331
1742899283.950137,226883.000,34864,1,SF,1,100,5.3702
1742899284.350141,227283.000,34929,1,SF,1,100,5.3081
1742899284.617144,227550.000,34981,1,SF,1,100,5.2467
1742899284.950147,227883.000,35030,1,SF,1,100,5.1860
1742899285.350152,228283.000,35097,1,SF,1,100,5.1260
1742899285.617155,228550.000,35145,1,SF,1,100,5.0667
1742899286.017159,228950.000,35201,1,SF,1,100,5.0081
1742899286.283162,229216.000,35249,1,SF,1,100,4.9502
1742899286.617165,229550.000,35300,1,SF,1,100,4.8929
1742899287.017169,229950.000,35366,1,SF,1,100,4.8363
1742899287.283172,230216.000,35417,1,SF,1,100,4.7804
1742899287.617176,230550.000,35466,1,SF,1,100,4.7251
1742899287.950180,230883.000,35514,1,SF,1,100,4.6704
1742899288.350184,231283.000,35583,1,SF,1,100,4.6164
1742899288.616187,231549.000,35634,1,SF,1,100,4.5630
1742899288.950190,231883.000,35684,1,SF,1,100,4.5102
1742899289.350194,232283.000,35749,1,SF,1,100,4.4580
1742899289.683198,232616.000,35800,1,SF,1,100,4.4064
1742899289.950201,232883.000,35850,1,SF,1,100,4.3555
1742899290.283205,233216.000,35901,1,SF,1,100,4.3051
1742899290.683209,233616.000,35966,1,SF,1,100,4.2553
1742899290.950212,233883.000,36016,1,SF,1,100,4.2061
1742899291.283215,234216.000,36070,1,SF,1,100,4.1574
1742899291.616219,234549.000,36120,1,SF,1,100,4.1093
1742899291.950222,234883.000,36169,1,SF,1,100,4.0618
1742899292.350227,235283.000,36236,1,SF,1,100,4.0148
1742899292.616229,235549.000,36286,1,SF,1,100,3.9683
1742899292.949233,235882.000,36337,1,SF,1,100,3.9224
1742899293.349237,236282.000,36404,1,SF,1,100,3.8771
1742899293.616240,236549.000,36454,1,SF,1,100,3.8322
1742899293.949244,236882.000,36504,1,SF,1,100,3.7879
1742899294.283247,237216.000,36553,1,SF,1,100,3.7441
1742899294.683251,237616.000,36620,1,SF,1,100,3.7008
1742899294.949254,237882.000,36669,1,SF,1,100,3.6579
1742899295.283258,238216.000,36719,1,SF,1,100,3.6156
1742899295.682262,238615.000,36784,1,SF,1,100,3.5738
1742899295.949265,238882.000,36837,1,SF,1,100,3.5325
1742899296.349269,239282.000,36890,1,SF,1,100,3.4916
1742899296.616272,239549.000,36943,1,SF,1,100,3.4512
1742899296.949276,239882.000,36991,1,SF,1,100,3.4113
1742899297.349280,240282.000,37058,1,SF,1,100,3.3718
1742899297.682283,240615.000,37107,1,SF,1,100,3.3328
1742899297.949286,240882.000,37159,1,SF,1,100,3.2943
1742899298.282290,241215.000,37208,1,SF,1,100,3.2561
1742899298.682294,241615.000,37277,1,SF,1,100,3.2185
1742899298.949297,241882.000,37325,1,SF,1,100,3.1812
1742899299.282301,242215.000,37377,1,SF,1,100,3.1444
1742899299.682305,242615.000,37442,1,SF,1,100,3.1081
1742899300.015308,242948.000,37493,1,SF,1,100,3.0721
1742899300.282311,243215.000,37542,1,SF,1,100,3.0366
1742899300.615315,243548.000,37592,1,SF,1,100,3.0015
1742899301.015319,243948.000,37657,1,SF,1,100,2.9667
1742899301.349323,244282.000,37715,1,SF,1,100,2.9324
1742899301.682326,244615.000,37765,1,SF,1,100,4.9807
1742899301.949329,244882.000,37818,1,SF,1,100,4.9231
1742899302.282333,245215.000,37866,1,SF,1,100,4.8662
1742899302.682337,245615.000,37933,1,SF,1,100,4.8099
1742899302.948340,245881.000,37984,1,SF,1,100,4.7542
1742899303.282343,246215.000,38033,1,SF,1,100,4.6992
1742899303.615347,246548.000,38087,1,SF,1,100,4.6449
1742899304.015351,246948.000,38154,1,SF,1,100,6.6734
1742899304.282354,247215.000,38204,1,SF,1,100,6.5962
1742899304.615358,247548.000,38253,1,SF,1,100,6.5199
1742899305.015362,247948.000,38320,1,SF,1,100,6.4445
1742899305.282365,248215.000,38370,1,SF,1,100,6.3699
1742899305.615368,248548.000,38421,1,SF,1,100,6.2962
1742899305.948372,248881.000,38469,1,SF,1,100,6.2234
1742899306.348376,249281.000,38538,1,SF,1,100,8.2337
1742899306.681380,249614.000,38594,1,SF,1,100,8.1384
1742899306.948383,249881.000,38644,1,SF,1,100,8.0443
1742899307.281386,250214.000,38693,1,SF,1,100,7.9512
1742899307.681390,250614.000,38761,1,SF,1,100,7.8592
1742899308.015394,250948.000,38810,1,SF,1,100,7.7683
