LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1742899300.282311,243215,37733,1,SR,1,100,1.133333
1742899303.282343,246215,38120,1,SR,1,100,0.466667
1742899305.082363,248015,38506,1,SR,1,100,1.000000
1742899312.414441,255347,39584,1,SR,1,100,0.266667
1742899313.748455,256681,39773,1,SR,1,100,0.066667
1742899314.881467,257814,40025,1,SR,1,100,0.466667
1742899315.881478,258814,40232,1,SR,1,100,0.666667
1742899317.747498,260680,40434,1,SR,1,100,0.066667
1742899323.013554,265946,41414,1,SR,1,100,0.866667
1742899329.680625,272613,42474,1,SR,1,100,1.000000
1742899334.413676,277346,43151,1,SR,1,100,0.333333
1742899334.879681,277812,43286,1,SR,1,100,0.666667
1742899335.946692,278879,43389,1,SR,1,100,0.266667
1742899336.478698,279411,43567,1,SR,1,100,0.800000
1742899337.545709,280478,43619,1,SR,1,100,0.066667
1742899338.545720,281478,43921,1,SR,1,100,0.866667
1742899346.678807,289611,45177,1,SR,1,100,0.400000
1742899347.877820,290810,45337,1,SR,1,100,0.200000
1742899352.277867,295210,46060,1,SR,1,100,0.200000
1742899353.010875,295943,46267,1,SR,1,100,0.666667
1742899359.143940,302076,47177,1,SR,1,100,0.133333
1742899379.208154,322140,50555,1,SR,1,100,0.600000
1742899432.337722,375269,59323,1,SR,1,100,1.000000
1742899433.470734,376402,59376,1,SR,1,100,0.200000
1742899434.470745,377402,59548,1,SR,1,100,0.200000
1742899435.469756,378401,59749,1,SR,1,100,0.400000
1742899436.403766,379335,59902,1,SR,1,100,0.466667
1742899437.936782,380868,60173,1,SR,1,100,0.466667
1742899441.070816,384002,60698,1,SR,1,100,0.600000
1742899444.536853,387468,61207,1,SR,1,100,0.200000
1742899444.869856,387801,61257,1,SR,1,100,0.133333
1742899446.869877,389801,61593,1,SR,1,100,0.200000
1742899447.468884,390400,61778,1,SR,1,100,0.666667
1742899452.801941,395733,62806,1,SR,1,100,1.666667
1742899457.335989,400267,63363,1,SR,1,100,0.533333
1742899459.601013,402532,63688,1,SR,1,100,0.266667
1742899460.002018,402933,63790,1,SR,1,100,0.533333
1742899463.868059,406799,64430,1,SR,1,100,0.466667
1742899466.601088,409532,65038,1,SR,1,100,1.466667
1742899470.200127,413131,65413,1,SR,1,100,0.133333
1742899470.468130,413399,65530,1,SR,1,100,0.533333
1742899476.333192,419264,936,1,SR,1,100,0.466667
1742899480.666239,423597,1677,1,SR,1,100,0.600000
1742899481.933252,424864,1830,1,SR,1,100,0.266667
1742899483.266266,426197,2034,1,SR,1,100,0.133333
