LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1742899274.544036,217477.000,33354,1,T1,1,100,31.718
1742899274.678038,217611.000,33373,1,T1,1,100,31.736
1742899274.811039,217744.000,33389,1,T1,1,100,31.744
1742899274.944041,217877.000,33421,1,T1,1,100,31.712
1742899275.078042,218011.000,33438,1,T1,1,100,31.734
1742899275.211043,218144.000,33454,1,T1,1,100,31.743
1742899275.344045,218277.000,33472,1,T1,1,100,31.782
1742899275.478046,218411.000,33505,1,T1,1,100,31.835
1742899275.611048,218544.000,33522,1,T1,1,100,31.716
1742899275.744049,218677.000,33544,1,T1,1,100,31.735
1742899275.878051,218811.000,33560,1,T1,1,100,31.779
1742899276.011052,218944.000,33592,1,T1,1,100,31.798
1742899276.144053,219077.000,33611,1,T1,1,100,31.806
1742899276.278055,219211.000,33628,1,T1,1,100,31.881
1742899276.411056,219344.000,33659,1,T1,1,100,31.807
1742899276.544058,219477.000,33676,1,T1,1,100,31.774
1742899276.678059,219611.000,33693,1,T1,1,100,31.867
1742899276.811060,219744.000,33710,1,T1,1,100,31.836
1742899276.944062,219877.000,33744,1,T1,1,100,31.752
1742899277.077063,220010.000,33760,1,T1,1,100,31.857
1742899277.211065,220144.000,33777,1,T1,1,100,31.725
1742899277.344066,220277.000,33809,1,T1,1,100,31.775
1742899277.477068,220410.000,33827,1,T1,1,100,31.867
1742899277.611069,220544.000,33845,1,T1,1,100,31.907
1742899277.744071,220677.000,33876,1,T1,1,100,31.853
1742899277.877072,220810.000,33892,1,T1,1,100,31.866
1742899278.011073,220944.000,33910,1,T1,1,100,31.836
1742899278.144075,221077.000,33926,1,T1,1,100,31.752
1742899278.277076,221210.000,33962,1,T1,1,100,31.786
1742899278.411077,221344.000,33979,1,T1,1,100,31.872
1742899278.544079,221477.000,33995,1,T1,1,100,31.909
1742899278.677080,221610.000,34027,1,T1,1,100,31.925
1742899278.811082,221744.000,34046,1,T1,1,100,31.826
1742899278.944083,221877.000,34063,1,T1,1,100,31.818
1742899279.077085,222010.000,34094,1,T1,1,100,31.921
1742899279.211086,222144.000,34111,1,T1,1,100,31.824
1742899279.344088,222277.000,34128,1,T1,1,100,31.924
1742899279.477089,222410.000,34145,1,T1,1,100,31.967
1742899279.611090,222544.000,34179,1,T1,1,100,31.808
1742899279.744092,222677.000,34195,1,T1,1,100,31.882
1742899279.877093,222810.000,34212,1,T1,1,100,31.842
1742899280.011095,222944.000,34244,1,T1,1,100,31.825
1742899280.144096,223077.000,34260,1,T1,1,100,31.889
1742899280.277097,223210.000,34280,1,T1,1,100,31.987
1742899280.411099,223344.000,34311,1,T1,1,100,31.817
1742899280.544101,223477.000,34327,1,T1,1,100,31.921
1742899280.677102,223610.000,34345,1,T1,1,100,31.930
1742899280.810103,223743.000,34369,1,T1,1,100,31.899
1742899280.944105,223877.000,34386,1,T1,1,100,31.921
1742899281.077106,224010.000,34403,1,T1,1,100,31.859
1742899281.210108,224143.000,34435,1,T1,1,100,31.868
1742899281.344109,224277.000,34451,1,T1,1,100,31.908
1742899281.477110,224410.000,34470,1,T1,1,100,31.960
1742899281.610112,224543.000,34486,1,T1,1,100,31.947
1742899281.744113,224677.000,34518,1,T1,1,100,31.942
1742899281.877115,224810.000,34535,1,T1,1,100,31.975
1742899282.010116,224943.000,34552,1,T1,1,100,31.847
1742899282.144118,225077.000,34585,1,T1,1,100,31.863
1742899282.277119,225210.000,34603,1,T1,1,100,31.905
1742899282.410120,225343.000,34619,1,T1,1,100,31.853
1742899282.544122,225477.000,34651,1,T1,1,100,31.936
1742899282.677123,225610.000,34668,1,T1,1,100,31.972
1742899282.810125,225743.000,34684,1,T1,1,100,31.953
1742899282.944126,225877.000,34718,1,T1,1,100,31.873
1742899283.077127,226010.000,34735,1,T1,1,100,31.981
1742899283.210129,226143.000,34751,1,T1,1,100,32.027
1742899283.344130,226277.000,34785,1,T1,1,100,32.012
1742899283.477132,226410.000,34802,1,T1,1,100,32.111
1742899283.610133,226543.000,34821,1,T1,1,100,32.013
1742899283.743134,226676.000,34838,1,T1,1,100,31.970
1742899283.877136,226810.000,34870,1,T1,1,100,31.881
1742899284.010137,226943.000,34886,1,T1,1,100,31.771
1742899284.143139,227076.000,34903,1,T1,1,100,31.901
1742899284.277140,227210.000,34935,1,T1,1,100,31.780
1742899284.410142,227343.000,34953,1,T1,1,100,31.727
1742899284.543143,227476.000,34970,1,T1,1,100,31.740
1742899284.677145,227610.000,35002,1,T1,1,100,31.675
1742899284.810146,227743.000,35018,1,T1,1,100,31.576
1742899284.943147,227876.000,35036,1,T1,1,100,31.675
1742899285.077149,228010.000,35069,1,T1,1,100,31.859
1742899285.210150,228143.000,35085,1,T1,1,100,31.904
1742899285.343152,228276.000,35103,1,T1,1,100,31.816
1742899285.477153,228410.000,35119,1,T1,1,100,31.921
1742899285.610155,228543.000,35151,1,T1,1,100,31.788
1742899285.743156,228676.000,35168,1,T1,1,100,31.802
1742899285.877157,228810.000,35184,1,T1,1,100,31.808
1742899286.010159,228943.000,35207,1,T1,1,100,31.669
1742899286.143160,229076.000,35238,1,T1,1,100,31.821
1742899286.277162,229210.000,35255,1,T1,1,100,31.781
1742899286.410163,229343.000,35272,1,T1,1,100,31.799
1742899286.543164,229476.000,35306,1,T1,1,100,31.842
1742899286.677166,229610.000,35322,1,T1,1,100,31.754
1742899286.810167,229743.000,35339,1,T1,1,100,31.752
1742899286.943169,229876.000,35355,1,T1,1,100,31.857
1742899287.076170,230009.000,35387,1,T1,1,100,31.974
1742899287.210172,230143.000,35404,1,T1,1,100,31.882
1742899287.343173,230276.000,35423,1,T1,1,100,31.985
1742899287.476174,230409.000,35454,1,T1,1,100,31.887
1742899287.610176,230543.000,35472,1,T1,1,100,31.880
