LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1742899274.559036,217492.000,33355,1,TH,1,100,30.125
1742899274.693038,217626.000,33374,1,TH,1,100,30.125
1742899274.826039,217759.000,33390,1,TH,1,100,30.115
1742899274.959041,217892.000,33422,1,TH,1,100,30.115
1742899275.093042,218026.000,33439,1,TH,1,100,30.112
1742899275.226044,218159.000,33455,1,TH,1,100,30.119
1742899275.359045,218292.000,33489,1,TH,1,100,30.145
1742899275.492046,218425.000,33506,1,TH,1,100,30.145
1742899275.626048,218559.000,33523,1,TH,1,100,30.226
1742899275.759049,218692.000,33545,1,TH,1,100,30.226
1742899275.892051,218825.000,33561,1,TH,1,100,30.181
1742899276.026052,218959.000,33593,1,TH,1,100,30.188
1742899276.159054,219092.000,33612,1,TH,1,100,30.162
1742899276.292055,219225.000,33629,1,TH,1,100,30.162
1742899276.426056,219359.000,33660,1,TH,1,100,30.251
1742899276.559058,219492.000,33677,1,TH,1,100,30.251
1742899276.692059,219625.000,33694,1,TH,1,100,30.114
1742899276.826061,219759.000,33727,1,TH,1,100,30.122
1742899276.959062,219892.000,33745,1,TH,1,100,30.160
1742899277.092063,220025.000,33761,1,TH,1,100,30.160
1742899277.226065,220159.000,33778,1,TH,1,100,30.136
1742899277.359066,220292.000,33810,1,TH,1,100,30.143
1742899277.492068,220425.000,33828,1,TH,1,100,30.122
1742899277.626069,220559.000,33846,1,TH,1,100,30.122
1742899277.759071,220692.000,33877,1,TH,1,100,30.143
1742899277.892072,220825.000,33893,1,TH,1,100,30.143
1742899278.025074,220958.000,33911,1,TH,1,100,30.159
1742899278.159075,221092.000,33927,1,TH,1,100,30.166
1742899278.292076,221225.000,33963,1,TH,1,100,30.249
1742899278.426078,221359.000,33980,1,TH,1,100,30.249
1742899278.559079,221492.000,33996,1,TH,1,100,30.228
1742899278.692081,221625.000,34028,1,TH,1,100,30.228
1742899278.826082,221759.000,34047,1,TH,1,100,30.296
1742899278.959084,221892.000,34064,1,TH,1,100,30.304
1742899279.092085,222025.000,34095,1,TH,1,100,30.195
1742899279.225086,222158.000,34112,1,TH,1,100,30.195
1742899279.359088,222292.000,34129,1,TH,1,100,30.230
1742899279.492089,222425.000,34162,1,TH,1,100,30.230
1742899279.625091,222558.000,34180,1,TH,1,100,30.313
1742899279.759092,222692.000,34196,1,TH,1,100,30.320
1742899279.892093,222825.000,34213,1,TH,1,100,30.231
1742899280.025095,222958.000,34245,1,TH,1,100,30.231
