LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1742899275.686049,218619.000,33533,1,TL,1,100,2025-03-25_18-41-10-665981
1742899275.689049,218622.000,33535,1,TL,1,100,2025-03-25_18-41-10-728762
1742899280.793103,223726.000,34356,1,TL,1,100,2025-03-25_18-41-15-759125
1742899280.796103,223729.000,34358,1,TL,1,100,2025-03-25_18-41-15-858564
1742899285.994159,228927.000,35196,1,TL,1,100,2025-03-25_18-41-25-991213
1742899291.037213,233970.000,36033,1,TL,1,100,2025-03-25_18-41-26-098272
1742899296.152267,239085.000,36868,1,TL,1,100,2025-03-25_18-41-31-264534
1742899296.154267,239087.000,36870,1,TL,1,100,2025-03-25_18-41-31-267880
1742899301.274322,244207.000,37709,1,TL,1,100,2025-03-25_18-41-36-329858
1742899301.277322,244210.000,37711,1,TL,1,100,2025-03-25_18-41-36-337751
1742899306.382376,249315.000,38555,1,TL,1,100,2025-03-25_18-41-41-416892
1742899306.384377,249317.000,38557,1,TL,1,100,2025-03-25_18-41-41-446886
1742899311.502431,254435.000,39395,1,TL,1,100,2025-03-25_18-41-51-499533
1742899316.615486,259548.000,40225,1,TL,1,100,2025-03-25_18-41-51-684504
1742899316.625486,259558.000,40228,1,TL,1,100,2025-03-25_18-41-56-621486
1742899321.723540,264656.000,41053,1,TL,1,100,2025-03-25_18-41-56-826614
1742899321.738540,264671.000,41056,1,TL,1,100,2025-03-25_18-42-01-734725
1742899326.831595,269764.000,41880,1,TL,1,100,2025-03-25_18-42-01-936209
1742899331.939650,274872.000,42675,1,TL,1,100,2025-03-25_18-42-07-055786
1742899331.941649,274874.000,42677,1,TL,1,100,2025-03-25_18-42-07-057923
1742899337.060704,279993.000,43524,1,TL,1,100,2025-03-25_18-42-11-975126
1742899337.062704,279995.000,43526,1,TL,1,100,2025-03-25_18-42-12-075747
1742899337.094705,280027.000,43529,1,TL,1,100,2025-03-25_18-42-17-091570
1742899342.188759,285121.000,44371,1,TL,1,100,2025-03-25_18-42-17-197461
1742899342.217759,285150.000,44374,1,TL,1,100,2025-03-25_18-42-22-214254
1742899347.298814,290231.000,45212,1,TL,1,100,2025-03-25_18-42-22-319370
1742899347.338814,290271.000,45215,1,TL,1,100,2025-03-25_18-42-27-335640
