RD,TS_received,TS_sent,AK,RoundTrip,
218624,223726,2025-03-25_18-41-15-759125,223728,5102,
223731,
228854,228927,2025-03-25_18-41-25-991213,228929,73,
233972,239085,2025-03-25_18-41-31-264534,239086,5113,
239094,244207,2025-03-25_18-41-36-329858,244209,5113,
244212,249315,2025-03-25_18-41-41-416892,249316,5103,
249319,
254425,254435,2025-03-25_18-41-51-499533,254437,10,
259550,259558,2025-03-25_18-41-56-621486,259561,8,
264658,264671,2025-03-25_18-42-01-734725,264673,13,
269766,274872,2025-03-25_18-42-07-055786,274873,5106,
274876,279993,2025-03-25_18-42-11-975126,279994,5117,
280001,280027,2025-03-25_18-42-17-091570,280028,26,
285124,285150,2025-03-25_18-42-22-214254,285151,26,
290233,290271,2025-03-25_18-42-27-335640,290273,38,
295340,300459,2025-03-25_18-42-32-641167,300460,5119,
300466,300507,2025-03-25_18-42-37-571434,300508,41,
305578,305633,2025-03-25_18-42-42-697295,305634,55,
310703,310749,2025-03-25_18-42-47-813831,310750,46,
315811,315876,2025-03-25_18-42-52-937850,315878,65,
320924,320995,2025-03-25_18-42-58-057887,320997,71,
326057,326115,2025-03-25_18-43-03-176941,326116,58,
331170,331235,2025-03-25_18-43-08-297331,331237,65,
336288,336355,2025-03-25_18-43-13-417357,336356,67,
341400,346516,2025-03-25_18-43-18-541304,346519,5116,
346522,346585,2025-03-25_18-43-23-646829,346586,63,
351638,351713,2025-03-25_18-43-28-777496,351715,75,
356755,356832,2025-03-25_18-43-33-895686,356834,77,
361864,361945,2025-03-25_18-43-39-010438,361946,81,
366981,367071,2025-03-25_18-43-44-133255,367072,90,
372112,372192,2025-03-25_18-43-49-254888,372193,80,
377233,377314,2025-03-25_18-43-54-379218,377316,81,
382346,382434,2025-03-25_18-43-59-500176,382436,88,
387462,387551,2025-03-25_18-44-04-616377,387552,89,
392591,392669,2025-03-25_18-44-09-733396,392671,78,
397697,397791,2025-03-25_18-44-14-856841,397793,94,
402821,402903,2025-03-25_18-44-19-958675,402904,82,
407939,408028,2025-03-25_18-44-25-092202,408029,89,
413054,413150,2025-03-25_18-44-30-216340,413152,96,
418187,418269,2025-03-25_18-44-35-334433,418274,82,
423294,423392,2025-03-25_18-44-40-457425,423393,98,
428407,428414,2025-03-25_18-44-45-479790,428415,7,
433521,433532,2025-03-25_18-44-50-596105,433533,11,
438629,438652,2025-03-25_18-44-55-719014,438653,23,
443745,443773,2025-03-25_18-45-00-839766,443775,28,
